address,all_amenities,description,email,phone,category,hotelclass,latitude,longitude,pricelevel,pricerange,rankingdenominator,name,rankingposition,rankingstring,rating,weburl,website
"328 Galle Road Colombo 3, Colombo Sri Lanka","Pool, Room service, Restaurant, Internet, Free Internet, Free parking, Wifi, Free Wifi, Wheelchair access, Bar/Lounge, Airport transportation, Public Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Conference Facilities, Safe, Rooftop Bar, Rooftop Pool, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Poolside Bar, Housekeeping, Baggage Storage, Bottled Water, 24-Hour Check-in, Doorperson, English, 24-Hour Security, Banquet Room, Kids pool, Outdoor pool, Breakfast Available, Arabic, Breakfast in the Room, Car Hire, Currency Exchange, 24-Hour Front Desk, Hindi, Iron, Ironing Service, Kid-Friendly Buffet, Newspaper, Pool / Beach Towels, Pool with View, Secured Parking, Shoeshine, Special Diet Menus, Wine / Champagne, not provided","Located in the heart of Colombo, Renuka City Hotel is Colombo's premier business hotel, committed to providing guests excellent facilities at the best value in the city. Hotel Facilities Include: Air-conditioned Rooms with TVs (Local & Cable Channels), Mini Fridges, Safes, Internet & IDD Facilities. Other facilities: Breakfast Buffet, 24 Hours Room Service, Palmyrah Restaurant serving authentic Sri Lankan and Continental Cuisine, Two Bars, Business Centre, Free Wifi facilities in guest rooms and public areas, Conference & Banqueting facilities, Swimming Pool, Fitness Centre & Laundry & Dry Cleaning Facilities",renukaht@renukahotel.com,+94 11 2 573598,hotel,3.0,6.908757,79.85041,$,"LKR 15,725 - LKR 20,676",93,Renuka City Hotel,35,#35 of 93 hotels in Colombo,3.5,https://www.tripadvisor.com/Hotel_Review-g293962-d498698-Reviews-Renuka_City_Hotel-Colombo_Western_Province.html,http://www.renukahotel.com
"382 Galle Road, Colombo 00600 Sri Lanka","Internet, Room service, Free Internet, Restaurant, Bar/Lounge, Wifi, Free Wifi, Airport transportation, Dry Cleaning, Non-smoking rooms, Air conditioning, Multilingual Staff, Refrigerator in room, Safe, Flatscreen TV, Breakfast Buffet, Wheelchair access, Laundry Service, Conference Facilities, not provided","GSH Colombo is nestled in the bustling district of Colombo and is conveniently located to most leading private hospitals, shopping malls and Cinemas. The heart of the business of Colombo is also 6KM away from the Hotel. The hotel is located in the main Galle Road of Colombo and around 500meters walking distance to the beach. All 40 rooms are equipped with facilities and amenities to ensure that diverse types of travelers may enjoy a comfortable stay. Each room is Air Conditioned and has free Wi-Fi. It also provides guests the convenience of tea/coffee making facilities, a mini fridge and a flat screen TV. There is a 24 hours front desk at the property. GSH Colombo is also home to an exclusive Indian franchise, “Street Foods by Punjab Grill” ; that offers authentic Indian cuisine to tantalize the most discerning palette. You can choose to dine on Indian delicacies in the comfort of your own room as it is integrated into Room Service.",a-2117@lakpura.com,+94 11 2 362402,hotel,4.0,6.867776,79.8625,$,"LKR 10,192 - LKR 17,764",93,Great Southern Hotel (GSH),46,#46 of 93 hotels in Colombo,3.5,https://www.tripadvisor.com/Hotel_Review-g293962-d6000821-Reviews-Great_Southern_Hotel_GSH-Colombo_Western_Province.html,http://www.gshcolombo.com
"No 15 1/1 Mudalige Mawatha, Colombo 00100 Sri Lanka","Internet, Free Internet, Airport transportation, Wifi, Free Wifi, Breakfast included, Non-smoking rooms, Laundry Service, Air conditioning, Multilingual Staff, Blackout Curtains, Shared Lounge / TV Area, Kids Activities, not provided",Star Anise is Sri Lanka’s First Luxury Capsule Hotel that offers travellers private sleeping sanctums that is inviting and decked in an antique and modern designer finishing. The brand also takes on a liking for local heritage and culture. We pride ourselves with local artwork of floral and fauna of the local habitat into its branding.,info@thestaranise.com,+94 76 703 2745,hotel,2.0,6.935537,79.84387,$,"LKR 7,280 - LKR 29,121",42,Star Anise Boutique Capsules,3,#3 of 42 hostels in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d10955368-Reviews-Star_Anise_Boutique_Capsules-Colombo_Western_Province.html,http://thestaranise.com
"No. 5 Seneviratne Place Kudapaduwa, Negombo 11500 Sri Lanka","Pool, Internet, Beachfront, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Airport transportation, Wifi, Public Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Refrigerator in room, Rooftop Bar, Flatscreen TV, Breakfast Buffet, Poolside Bar, Private Balcony, Outdoor pool, Housekeeping, Baggage Storage, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Complimentary Tea, Doorperson, English, Complimentary Toiletries, 24-Hour Front Desk, Pool / Beach Towels, Pool with View, Seating Area, Soundproof Rooms, Special Diet Menus, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Beach Access, Conference Facilities, Safe, Rooftop Terrace, Infinity Pool, Breakfast Available, Bidet, Cable / Satellite TV, Express Check-in / Check-out, Coffee / Tea Maker, Currency Exchange, Electric Kettle, Complimentary Welcome Drink, Hair Dryer, Interconnected room(s) available, Iron, Ironing Service, Kids' Meals, Laptop Safe, Outdoor Dining Area, Private Bathrooms, Private Check-in / Check-out, 24-Hour Security, Sun Loungers / Beach Chairs, Tamil, Walk-in Shower, Wardrobe / Closet, not provided","The Scape is the new addition to the chain of Pledge Hotels & Resorts. It nestles serenely on the beach front between sun and sand, surrounded by a gentle whispering breeze. The rooms are constructed to give you an insight of what is in store for you. A holiday that goes beyond your expectations, in an ambience that’s a little bit of haven.",info@pledgescape.com,+94 31 2 030500,hotel,4.0,7.225092,79.83975,$$$,"LKR 34,945 - LKR 87,362",127,Pledge Scape,10,#10 of 127 hotels in Negombo,4.5,https://www.tripadvisor.com/Hotel_Review-g297897-d15694887-Reviews-Pledge_Scape-Negombo_Western_Province.html,http://www.pledgescape.com
"292 High Level Road, Colombo 00600 Sri Lanka","Internet, Suites, Free Internet, Free parking, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Laundry Service, Multilingual Staff, Flatscreen TV, Breakfast Available, Room service, Restaurant, Dry Cleaning, Non-smoking rooms, Concierge, Air conditioning, Family Rooms, Accessible rooms, Refrigerator in room, Non-smoking hotel, not provided","Built in 2016, The Richmond House Colombo Hotel is a distinct addition to Colombo and a smart choice for travelers. This Star hotel can be easily accessed from the airport or from colombo city. With its convenient location, the hotel offers easy access to the city's must-see destinations. At The Richmond House Colombo Hotel,( A sister hotel to Richmond House Kandy) every effort is made to make guests feel comfortable. To do so, the hotel provides the best in services and amenities. A selection of top-class facilities such as free 4G Wifi in all rooms, 24-hour security, daily housekeeping, fax machine, grocery deliveries can be enjoyed at the hotel. All guest accommodations feature thoughtful amenities to ensure an unparalleled sense of comfort. Besides, the hotel's host of recreational offerings ensures you have plenty to do during your stay. When you are looking for comfortable and convenient accommodations in Colombo, make The Richmond House Colombo Hotel your home away from home.",info@richmondhousecolombo.com,+94 71 626 2787,hotel,3.0,6.874586,79.88146,$$,"LKR 20,384 - LKR 40,769",5,The Richmond House Colombo,2,#2 of 5 boutique hotels in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d9984135-Reviews-The_Richmond_House_Colombo-Colombo_Western_Province.html,http://www.richmondhousecolombo.com
"64 Lotus Road, Colombo 50007 Sri Lanka","Pool, Fitness center, Room service, Free parking, Restaurant, Suites, Business center, Internet, Wifi, Paid Wifi, Wheelchair access, Bar/Lounge, Spa, Airport transportation, Public Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Minibar, Conference Facilities, Safe, Flatscreen TV, Breakfast Buffet, Outdoor pool, Parking, Sauna, Baggage Storage, Car Hire, Coffee Shop, Currency Exchange, Doorperson, English, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Massage, Salon, 24-Hour Security, Taxi Service, Valet Parking, VIP Room Facilities, Smoking rooms available, Butler Service, Breakfast Available, ATM On Site, Express Check-in / Check-out, Children's Television Networks, Gift Shop, Highchairs Available, Sinhala, Sun Loungers / Beach Chairs, not provided","Desirably located in the heart of Colombo’s the city center, Galadari Hotel excels in modern amenities sophistication and a stunning, unparalleled view of the Ocean...Step-in to be lost in cozy hideouts, pleasurable surroundings and the best of Sri Lankan hospitality...",info@galadari.lk,+94 11 2 544544,hotel,4.0,6.931667,79.843056,$$,"LKR 26,209 - LKR 58,241",144,Galadari Hotel,38,#38 of 144 hotels in Colombo,3.5,https://www.tripadvisor.com/Hotel_Review-g293962-d447410-Reviews-Galadari_Hotel-Colombo_Western_Province.html,http://www.galadarihotel.lk/
"37 Mudalige Mawatha Road, Colombo 00100 Sri Lanka","Internet, Free Internet, Airport transportation, Free Wifi, Non-smoking rooms, Concierge, Air conditioning, Non-smoking hotel, Baggage Storage, 24-Hour Check-in, English, 24-Hour Front Desk, Safe, Bottled Water, not provided",We are a small city hotel / hostel nestled in the heart of Colombo's most vibrant district.,c1forthotel@gmail.com,+94 11 2 389695,hotel,2.0,6.935154,79.84424,$,"LKR 9,027 - LKR 10,192",42,C 1 Colombo Fort,4,#4 of 42 hostels in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d13292575-Reviews-C_1_Colombo_Fort-Colombo_Western_Province.html,http://c1fortcolombo.com/
"383 Duplication Rd Colpetty, Colombo 00300 Sri Lanka","Internet, Room service, Free Internet, Restaurant, Bar/Lounge, Wifi, Public Wifi, Free Wifi, Laundry Service, Air conditioning, not provided","Luxury full-service 3 star hotel in the heart of Colombo city, close to shopping, sightseeing, business districts. All rooms air condtioned with tv, telephone, mini-fridge, attached bathrooms. In-house restaurants, bars, Karaoke club.",info@IndraRegent.net,+94 11 2 574930,hotel,2.0,no latitude,no longitude,$,"LKR 11,357 - LKR 20,093",93,"Indra Regent Hotel - Colombo, Sri Lanka",92,#92 of 93 hotels in Colombo,2.5,https://www.tripadvisor.com/Hotel_Review-g293962-d1186628-Reviews-Indra_Regent_Hotel_Colombo_Sri_Lanka-Colombo_Western_Province.html,http://www.indraregent.net/index.html
"31 Shady Grove Avenue, Colombo 00800 Sri Lanka","Pool, Room service, Free parking, Restaurant, Internet, Free Internet, Wifi, Free Wifi, Non-smoking rooms, Laundry Service, Air conditioning, Family Rooms, Refrigerator in room, Safe, Flatscreen TV, Baggage Storage, Bath / Shower, Kids Activities, Suites, Airport transportation, Public Wifi, Dry Cleaning, Non-smoking hotel, Outdoor pool, Parking, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Car Hire, Express Check-in / Check-out, Coffee / Tea Maker, Currency Exchange, Desk, English, Extra Long Beds, Complimentary Toiletries, 24-Hour Front Desk, Iron, Ironing Service, Newspaper, Parking Garage, Seating Area, Secured Parking, Shared Lounge / TV Area, Sinhala, Special Diet Menus, Telephone, Wake Up Service / Alarm Clock, not provided","Ellen's Place was named after Ellen Senanayake - the youngest child of Mudaliyar Don Charles Gemoris Attygalle and his wife Peternella Abeykoon. Ellen Senanayake contributed much to Ceylon's independence struggle, being the supportive wife of F. R. Senanayake, one of the post independence national heroes who propelled the Independence movement. Ellen Senanayake, who at one point owned all the houses and land down Shady Grove Avenue in Colombo 8, built a house for her personal physician who was expected to live there and treat her and other members of her family. Years later, the house was inherited by her great grandson Hon. Vasantha Senanayake, a young and dynamic parliamentarian who decided to convert the beautiful house to a modern boutique hotel, yet retaining some features of its original decor. He decided to name the property ""Ellen's Place"" in memory of his great grandmother, an ardent Buddhist, generous Philanthropist, astute businesswoman and a devoted mother to her six children.",info@ellensplace.lk,+94 11 2 680062,hotel,3.5,6.911522,79.88181,$$,"LKR 34,945",51,Ellen’s Place,3,#3 of 51 guest houses in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d5501950-Reviews-Ellen_s_Place-Colombo_Western_Province.html,http://www.ellensplace.lk
"27 Spathodea Ave Colombo just off the corner of Thimbirigasyaya road and Havelock road, Colombo 00500 Sri Lanka","Internet, Free Internet, Free parking, Airport transportation, Wifi, Public Wifi, Free Wifi, Non-smoking rooms, Air conditioning, Room service, Restaurant, Breakfast included, Concierge, Multilingual Staff, Non-smoking hotel, Breakfast Available, Parking, Baggage Storage, Bath / Shower, Bottled Water, Clothes Rack, Complimentary Tea, Complimentary Toiletries, Hair Dryer, Seating Area, Taxi Service, Wake Up Service / Alarm Clock, not provided","Situated off a private lane in the heart of Colombo 5, ""27"" Spathodea is a beautifully refurbished Colonial era bungalow. The three private suites with en suite bathrooms, hot/cold water rain shower heads & air conditioning also come with free wi fi & breakfast. Our staff are here to help you make the most of your time in Colombo and have a huge amount of experience in assisting our guests with information about what to see and do. We can also assist you with making the most of your holiday in Sri Lanka with advice on where to go what to see and what to avoid. We have connections with tour companies and drivers as well as over 20 years experience in travelling in our amazing country.",glenn.howard3544@gmail.com,+94 77 084 3548,hotel,0.0,6.88954,79.86448,$,"LKR 13,978 - LKR 17,472",18,"""27"" Spathodea - Oasis In The City",3,#3 of 18 B&Bs in Colombo,5.0,https://www.tripadvisor.com/Hotel_Review-g293962-d7816272-Reviews-27_Spathodea_Oasis_In_The_City-Colombo_Western_Province.html,http://www.southhouseweligama.com
"82 Stratford Avenue, Colombo 00600 Sri Lanka","Pool, Internet, Suites, Free Internet, Restaurant, Bar/Lounge, Airport transportation, Wifi, Free Wifi, Non-smoking rooms, Laundry Service, Air conditioning, Minibar, Outdoor pool, Housekeeping, Bath / Shower, Bottled Water, Free parking, Breakfast included, Dry Cleaning, Hot Tub, Family Rooms, Non-smoking hotel, Safe, Private Balcony, Parking, Baggage Storage, Breakfast in the Room, Car Hire, 24-Hour Check-in, Express Check-in / Check-out, Coffee Shop, Coffee / Tea Maker, Currency Exchange, English, Complimentary Toiletries, French, 24-Hour Front Desk, German, Iron, Newspaper, Seating Area, Sinhala, Tamil, Telephone, Wake Up Service / Alarm Clock, not provided","If you’re looking for a romantic small hotel in Colombo, look no further than D Pavilion inn.
For those interested in checking out popular landmarks while visiting Colombo, D Pavilion inn is located a short distance from Asokaramaya Buddhist Temple (1.3 mi) and Bandaranaike Memorial International Conference Hall (1.8 mi).
Rooms at D Pavilion inn offer air conditioning, a minibar, and a seating area providing exceptional comfort and convenience, and guests can go online with free wifi.
A 24 hour front desk, 24 hour check-in, and baggage storage are some of the conveniences offered at this small hotel. A pool and free breakfast will also help to make your stay even more special. If you are driving to D Pavilion inn, free parking is available.
While visiting Colombo, you may want to try some oyster at one of the nearby restaurants, such as Beach Wadiya or Seafood Cove.
Best of all, D Pavilion inn makes it easy to experience some great Colombo attractions like Drivers.lk, which is a popular ancient ruins.
The staff at D Pavilion inn looks forward to serving you during your upcoming visit.
",no email,+94 11 2 553436,hotel,3.0,6.875611,79.873085,no price level,No price mentioned,67,D Pavilion inn,10,#10 of 67 small hotels in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d7242448-Reviews-D_Pavilion_inn-Colombo_Western_Province.html,no website
"24/2F-2/1, Hill Street Dehiwela-Mount Lavinia, Colombo 10350 Sri Lanka","Internet, Free Internet, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Non-smoking rooms, Air conditioning, Kids Activities, Shuttle Bus Service, Room service, Free parking, Dry Cleaning, Laundry Service, Family Rooms, Self-Serve Laundry, Microwave, Refrigerator in room, Babysitting, Non-smoking hotel, Breakfast Available, Allergy-free Room, Baggage Storage, BBQ Facilities, Board Games / Puzzles, Books, DVDs, Music for Children, Breakfast in the Room, Car Hire, Express Check-in / Check-out, 24-Hour Front Desk, Ironing Service, Kids' Meals, Kid-Friendly Buffet, Parking Garage, Private Check-in / Check-out, Secured Parking, Shared Kitchen, Shared Lounge / TV Area, Shoeshine, Special Diet Menus, Street Parking, Sun Terrace, Beach Access, not provided",Frangipani sea view Home stay is situated right at the city center of Dehiwela which is 8 km away from the Colombo main city center. It offers 4 double rooms with AC and hot water. 2 rooms have the own en suites and other two rooms are with shared bathroom. Every room has a tea coffee maker fans iron free toiletries etc. Just 5 minutes to the railway and bus station and any thing you name like groceries banks markets super centers. Pizza hut KFC famous Malay Restaurant Dominos Burger King and other food joints are just 10 minutes away. Famous Mount Lavinia hotel Dehiwela Zoo is 1o mts away by tuk tuk.,harshini_fern@hotmail.com,+94 71 068 1465,hotel,3.0,6.850821,79.866806,no price level,No price mentioned,51,Frangipani Homestay,7,#7 of 51 guest houses in Colombo,5.0,https://www.tripadvisor.com/Hotel_Review-g293962-d3791434-Reviews-Frangipani_Homestay-Colombo_Western_Province.html,http://www.facebook.com/Frangipani-Homestay-141132733136971/
"No. 237/9B, Vijaya Mawatha Rajamaha Vihara Road, Pita Kotte, Colombo 01100 Sri Lanka","Internet, Free Internet, Wifi, Public Wifi, Family Rooms, Free parking, Airport transportation, Free Wifi, Non-smoking rooms, Laundry Service, Microwave, Breakfast Available, Parking, Housekeeping, Baggage Storage, Bath / Shower, Bicycle Rental, Bottled Water, Car Hire, Clothes Dryer, Coffee Shop, Desk, English, 24-Hour Front Desk, Iron, Mosquito Net, Newspaper, 24-Hour Security, Secured Parking, Separate Dining Area, Taxi Service, Water Park Off-site, not provided","We are an approved BnB and Homestay accommodation provider by the Tourism Development Authority of Sri Lanka under ""Superior"" category. Licence No. HSU/2013/0023 & Registration No. SLTDA/SQA/HSU/0363Owned and managed by a couple who worked as banking professionals.This is a modern newly built house, 8 km away from Central Colombo located in Administrative capital in Sri Lanka, which gives a a calm and quiet environment and a lot of attractions of exotic birds and the occasional Monkeys who cross overClose distance to Banks, Hospitals, Supermarkets, Restaurants (Thai, Chinese, Indian, KFC, Pizza Hut, Dominos, Mc Donald) and coffee shops, ODEL (Premium fashion store) and other shopping complexes, Ancient temples and churches and also the Parliament Complex and Ferry rides in the Diyawanna Lake.This guest house offers 03 specious, very clean Double Rooms with attached bath. All rooms are featuring Tiled Floor, hot and cold water, Double Beds, Ceiling Fans, Dressing Table, Wardrobe, writing table, chairs, Mosquito Nets, Chairs. Also a large common sitting area and a specious TV Lounge that can be used by all guests. Towels and bed linen is provided and changed on regular basis.  Room Rate includes the regular room cleaning and bills.We ensure that all your needs are undertaken and provide you a friendly, caring and secure atmosphere, to make your stay a nice and memorable one.

Free advices and guidance on your tour.. Arranging tours according to your budget on your request..",anomadesilva123@yahoo.com,+94 77 732 4950,hotel,2.0,6.879688,79.91005,$,"LKR 8,736",51,Palm Nest,5,#5 of 51 guest houses in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d4048578-Reviews-Palm_Nest-Colombo_Western_Province.html,http://anomadesilva123.wix.com/palm-nest
"118 Liyanagemulla 18th Mile Post, Seeduwa 11410 Sri Lanka","Internet, Free Internet, Free parking, Airport transportation, Wifi, Public Wifi, Free Wifi, Non-smoking rooms, Air conditioning, Shared Kitchen, Laundry Service, Multilingual Staff, Non-smoking hotel, Bicycle Rental, not provided","A new breed of budget hostels, located near the Katunayake Airport, with comfortable beds, secure lockers, air condition, hot water, free Wifi and communal kitchen providing safe, comfortable and clean accommodation. An ideal stop for weary travelers to rest & recuperate before they begin their discovery of Sri Lanka or those in transit looking for a safe, comfortable room close to the airport.",getintouch@hangoverhostels.lk,+94 77 222 2796,hotel,2.0,7.154317,79.87148,$,"LKR 2,912 - LKR 8,736",3,Hangover Hostels at Colombo International Airport,1,#1 of 3 hostels in Seeduwa,4.5,https://www.tripadvisor.com/Hotel_Review-g3736162-d9709288-Reviews-Hangover_Hostels_at_Colombo_International_Airport-Seeduwa_Western_Province.html,https://hangoverhostels.lk/colombo-airport-hostel/
"17/2 Alfred Place, Colombo 00300 Sri Lanka","Pool, Room service, Free Wifi, Air conditioning, Bath / Shower, Internet, Suites, Free Internet, Free parking, Airport transportation, Wifi, Public Wifi, Dry Cleaning, Non-smoking rooms, Laundry Service, Self-Serve Laundry, Microwave, Refrigerator in room, Non-smoking hotel, Safe, Flatscreen TV, Butler Service, Infinity Pool, Adult pool, Breakfast Available, Parking, Housekeeping, Baggage Storage, Bathrobes, Bidet, Blackout Curtains, Bottled Water, Breakfast in the Room, Cable / Satellite TV, 24-Hour Check-in, Clothes Dryer, Clothes Rack, Coffee / Tea Maker, Couples Massage, Desk, Dishwasher, Electric Kettle, English, Foot Massage, Complimentary Toiletries, Complimentary Welcome Drink, Full Body Massage, Hair Dryer, Hand Massage, Head Massage, Iron, Ironing Service, Kids' Meals, Kitchenware, Massage, Massage Chair, Neck Massage, Newspaper, On-Demand Movies, Outdoor Dining Area, Oven, Pool / Beach Towels, Pool View, Private Bathrooms, Private Check-in / Check-out, Radio, Seating Area, 24-Hour Security, Secured Parking, Separate Living Room, Shared Lounge / TV Area, Shoeshine, Sofa, Soundproof Rooms, Steam Room, Stovetop, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Walk-in Shower, Wardrobe / Closet, Washing Machine, not provided","Originally the home of owner Hanif Yusoof and his family, Ishq Colombo was born out of a passion to share the epitome of luxury, the warmth of a family home and a destination that evokes a feeling of home. The name, ‘Ishq’ stems from the Arabic word for love and passion. This serves as our inspiration to continually bring you experiences that leave lasting impressions. This stunning 4-suite luxury villa could accommodate a maximum of 10 guests (adults and children) and was designed by Channa Daswatta, a protégé of the late architect Geoffrey Bawa. The villa pays homage to Sri Lanka’s rich history, with balanced auras of Dutch and English heritage lingering about at every nook and cranny. From the luxurious brushed brass fittings to the elegantly landscaped garden, our attention to detail is evident in the design of the villa, which takes you back to the old-world charm of the island’s colonial heritage and offers you the most unique luxury experience in Colombo.",reservations@ishqvillas.com,+94 76 167 1676,hotel,0.0,6.901617,79.85364,$$,"LKR 45,719 - LKR 58,241",14,Ishq Colombo,1,#1 of 14 villas in Colombo,5.0,https://www.tripadvisor.com/Hotel_Review-g293962-d26993683-Reviews-Ishq_Colombo-Colombo_Western_Province.html,https://www.ishqvillas.com/
"16/6 Cambridge Place Colombo 7, Colombo 00700 Sri Lanka","Pool, Internet, Free Internet, Airport transportation, Wifi, Free Wifi, Non-smoking rooms, Air conditioning, Refrigerator in room, Housekeeping, Baggage Storage, Bath / Shower, Pool / Beach Towels, Free parking, Breakfast included, Dry Cleaning, Fitness center, Laundry Service, Family Rooms, Multilingual Staff, Non-smoking hotel, Safe, Flatscreen TV, Kids pool, Outdoor pool, Breakfast Available, Parking, Bathrobes, Bicycles Available, Blackout Curtains, Board Games / Puzzles, Bottled Water, Cable / Satellite TV, Car Hire, Express Check-in / Check-out, Children's Television Networks, Clothes Rack, Complimentary Tea, Darts, Desk, Electric Kettle, English, Complimentary Instant Coffee, Complimentary Welcome Drink, 24-Hour Front Desk, German, Highchairs Available, Iron, Mosquito Net, Private Bathrooms, Shared Lounge / TV Area, Street Parking, Sun Deck, Tile / Marble Floor, Umbrella, Wake Up Service / Alarm Clock, Wardrobe / Closet, not provided","Colombo Villa has been described as an oasis in the middle of a busy city, located in a lush green area with open spaces and parks. Within easy reach of Colombo Museum, various shops, parks and cosy restaurants. We are small friendly and helpful. If you are looking for a good nights rest choose us ! Colombo Villa at Cambridge Place, Colombo 7.",infocolombovilla@gmail.com,+94 71 488 8086,hotel,3.0,6.907703,79.85976,$,"LKR 24,461 - LKR 32,033",14,Colombo Villa at Cambridge Place,3,#3 of 14 villas in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d8427717-Reviews-Colombo_Villa_at_Cambridge_Place-Colombo_Western_Province.html,http://www.colombovilla.lk/
"5B 1st Chapel Lane Wellawatte, Colombo 00600 Sri Lanka","Internet, Free Internet, Free parking, Restaurant, Airport transportation, Wifi, Free Wifi, Non-smoking rooms, Laundry Service, Air conditioning, Family Rooms, Safe, Shuttle Bus Service, Room service, Non-smoking hotel, Parking, Baggage Storage, Car Hire, English, 24-Hour Front Desk, Newspaper, Outdoor Furniture, Parking Garage, Shared Lounge / TV Area, Soundproof Rooms, Special Diet Menus, Sun Terrace, not provided","A beautifully appointed value for money location with 11 rooms which are equipped with air conditioning, satellite TV, mini fridge, safe, free Wifi, and complimentary parking. Chapelton House also boasts of a comfortable dormitory section with male and female dorms and shared washrooms. Sundecks, terraces, balconies, lounging lobbies and sit-outs with a separate dining area catering upto 28 guests.",Info@chapeltonhouse.com,+94 77 742 0548,hotel,2.5,6.87665,79.86103,$,"LKR 16,016 - LKR 20,384",18,Chapelton House,2,#2 of 18 B&Bs in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d7993803-Reviews-Chapelton_House-Colombo_Western_Province.html,no website
"No 100 Hotel Road, Dehiwala-Mount Lavinia 10350 Sri Lanka","Pool, Room service, Restaurant, Business center, Fitness center, Free parking, Internet, Suites, Free Internet, Wifi, Free Wifi, Beachfront, Wheelchair access, Bar/Lounge, Spa, Airport transportation, Public Wifi, Breakfast included, Dry Cleaning, Meeting rooms, Non-smoking rooms, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Accessible rooms, Refrigerator in room, Minibar, Conference Facilities, Safe, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Poolside Bar, Private Balcony, Butler Service, Outdoor pool, Private Beaches, Breakfast Available, Parking, Baggage Storage, Bridal Suite, Car Hire, Currency Exchange, Doorperson, English, Facial Treatments, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Ironing Service, Massage, Pool / Beach Towels, 24-Hour Security, Shops, Special Diet Menus, Sun Loungers / Beach Chairs, Sun Umbrellas, Taxi Service, Wake Up Service / Alarm Clock, Beach Access, not provided","With a history spanning over 200 years, Mount Lavinia Hotel Colombo is one of the oldest hotels in Sri Lanka. This premier colonial heritage hotel in Colombo has earned a reputation over the years for its magnificent structure and ambiance, the old world charm which harks back to the grandeur of old Ceylon, a romantic legacy left by the colonial Governor General who used it as his residence, the exceptional service offered by its well-trained staff and its popularity as a venue for weddings.",info@mountlaviniahotel.com,+94 11 2 711711,hotel,4.0,6.833142,79.86191,$$,"LKR 24,170 - LKR 51,543",15,Mount Lavinia Hotel,1,#1 of 15 hotels in Dehiwala-Mount Lavinia,4.0,https://www.tripadvisor.com/Hotel_Review-g499079-d307713-Reviews-Mount_Lavinia_Hotel-Dehiwala_Mount_Lavinia_Western_Province.html,http://www.mountlaviniahotel.com/front/index.php
